@id	name	brand	addr:district	addr:street	addr:city	@lat	@lon
436468020	Mercado N° 3 de Chorrillos					-12.1682228	-77.0213525
436469440	Valentino					-12.1659620	-77.0214793
436472820	Petro América			Avenida Petit Thouars		-12.0955408	-77.0315071
436474198	Denisse					-12.1552907	-77.0212424
436480412				Avenida Tupac Amaru	Comas	-11.9332746	-77.0454545
436561164	Minimarket Carrion					-12.1397201	-77.0221238
436565550	Viva			Avenida Cuba		-12.0744961	-77.0373637
436570959						-12.0865348	-77.0319929
436575813	Moderno Mercado Rospigliosi			Calle Manuel Segura	Santa Beatriz	-12.0790085	-77.0320289
436580902						-12.1429620	-77.0177159
436588234	Galeria Arenales			Avenida Alvarez de Arenales		-12.0785061	-77.0362381
436594130	Repshop			Avenida 28 de Julio		-12.1302000	-77.0176528
436598550	Tottus	Tottus		Avenida Óscar Raimundo Benavides	Breña	-12.0483360	-77.0584801
436605095	Listo			Avenida Arequipa		-12.0833945	-77.0350998
436605577	Listo			Avenida Javier Prado Oeste	San Isidro	-12.0949826	-77.0499846
436609369	Repshop					-12.1389084	-77.0181678
436619861	Luis Diego			Avenida Chorrillos		-12.1572916	-77.0232087
436619864	Bodega Natalia Roja			Avenida Chorrillos		-12.1572308	-77.0232178
436625497						-12.1468234	-77.0115977
436737007	Minimarket Isidro					-12.1414992	-77.0192554
436738718	Arakaki			Calle Torre Tagle		-12.1172653	-77.0384121
436743324	Repshop			Avenida Paseo de la República		-12.1139595	-77.0265246
436748491	Organica Peru Market			Calle Alfonso Ugarte	Miraflores	-12.1171093	-77.0265621
436750069					Jesús María	-12.0688938	-77.0381950
436751614	Listo!			Tomás Marsano 1008		-12.1130311	-77.0121096
436757175	Repsol			Avenida Del Ejército		-12.1174004	-77.0439166
436758752	Proveeduría Leche fresca			Avenida Balta	Barranco	-12.1425336	-77.0171017
436770841	Santa Natura			Avenida Alvarez de Arenales		-12.0897490	-77.0351247
436771462	Bodega Edelmira					-12.1447907	-77.0146709
436790507	Tambo+	Tambo+		Jirón Roberto Thorndike Galup		-12.0548341	-77.0694247
436798433	Listo!			Avenida Alejandro Iglesias		-12.1679690	-77.0257771
436800374	Oxxo	Oxxo				-12.1220221	-77.0237411
436893805	Gran Mercado Inka			Avenida La Marina		-12.0820255	-77.0693003
436895662						-12.1158584	-77.0185670
436901001	RepShop					-12.1203203	-77.0186054
436920138	Mass			Jirón Mariscal Toribio Luzuriaga	Jesús María	-12.0763567	-77.0484530
436924630						-12.1141569	-77.0181108
436924634						-12.1148668	-77.0181267
436943045	Mercado Las Brisas de Pachacámac			Avenida Las Lomas	Villa El Salvador	-12.2393127	-76.9198679
436947069	Mercado Atahualpa			Avenida José Olaya	Villa El Salvador	-12.2234320	-76.9312326
436950027	NeoMarket			Antigua Panamericana Sur	Lurín	-12.2997276	-76.8461093
436951939						-12.2980474	-76.8482838
436951942						-12.2977435	-76.8485717
