CODIGO INEI;CODIGO CPNP;NOMBREDD;NOMBREPP;NOMBREDI;GPS;MACREGPOL/FP;REGPOL;DIVPOL/DIVOPUS;COMISARÍA;TIPO*;RURAL*;SECTORIAL*;ZONAL*;;;
1157;5404;APURIMAC;ABANCAY;ABANCAY;-13.63703366,-72.89771985;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP BELLAVISTA;B;;;;;;
9061;5406;APURIMAC;AYMARAES;YANACA;-14.22594494,-73.16020696;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP YANACA;E;X;;;;;
1163;5408;APURIMAC;ABANCAY;CHACOCHE;-13.87633666,-73.02693689;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP CASINCHIHUA;E;X;;;;;
1158;5411;APURIMAC;ABANCAY;ABANCAY;-13.63176758,-72.88475977;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP VILLA AMPAY;C;;;;;;
3005;5412;APURIMAC;ABANCAY;TAMBURCO;-13.62243134,-72.8736407;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP TAMBURCO;C;;;;;;
1160;5415;APURIMAC;ABANCAY;CURAHUASI;-13.54046857,-72.69611738;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP CURAHUASI;C;X;;;;;
1164;5420;APURIMAC;ABANCAY;SAN PEDRO DE CACHORA;-13.51245188,-72.81312014;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP CACHORA;E;X;;;;;
1161;5422;APURIMAC;ABANCAY;HUANIPACA;-13.49290577,-72.93293017;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP HUANIPACA;E;X;;;;;
1194;5430;APURIMAC;GRAU;PROGRESO;-14.07408892,-72.47545379;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP PROGRESO;D;X;;;;;
1193;5432;APURIMAC;GRAU;MAMARA;-14.22948328,-72.59043087;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP MAMARA;E;X;;;;;
1195;5434;APURIMAC;GRAU;VILCABAMBA;-14.07839621,-72.62500789;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP VILCABAMBA;D;X;;;;;
1162;5436;APURIMAC;ABANCAY;LAMBRAMA;-13.87103621,-72.76990206;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP LAMBRAMA;E;X;;;;;
