pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
135,"S/ 2,500 · USD 710",S/ 250 Mantenimiento,av brasil 3739,"Magdalena, Lima",88 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-duplex-en-magdalena-del-mar-147367400.html
135,"S/ 1,750",S/ 170 Mantenimiento,Av. Universitaria al 400,"San Miguel, Lima",70 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-en-san-miguel-3-dorm.-piso-4-147366337.html
135,"S/ 2,100",S/ 220 Mantenimiento,Padre Urraca al 100,"San Miguel, Lima",80 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-departamento-en-san-miguel-3-dorm.-147366336.html
135,"S/ 2,450 · USD 700",S/ 220 Mantenimiento,Pedro de Osma 348,"Barranco, Lima",76 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-barranco-pet-friendly-:-av-146129811.html
135,"S/ 14,880 · USD 4,000","S/ 1,200 Mantenimiento",Avenida General Pezet,"San Isidro, Lima",350 m² tot.,3 dorm.,4 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-pezet-exclusivo-penthouse-triplex-350-m-sup2-144459397.html
135,"S/ 1,750 · USD 500",,Calle los Ficus 350 San Isidro,"San Isidro, Lima",63 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-san-isidro-1dorm-$500-casa-club-cochera-144058150.html
135,S/ 800,,Calle Jardines,"Los Olivos, Lima",90 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquila-tu-nuevo-hogar-en-el-limite-con-los-olivos-147361876.html
135,"S/ 3,600",S/ 315 Mantenimiento,Calle Araroba,"Santiago de Surco, Lima",114 m² tot.,4 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-de-estreno-y-frente-a-parque-alquiler-de-amplio-147250847.html
135,"S/ 2,894 · USD 820",,magdalena,"Magdalena, Lima",88 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin--alquilo-lindo-departamento-magdalena-147360987.html
135,"S/ 2,150",,Av. Arequipa 2441,"Lince, Lima",45 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-exclusivo-departamento-amoblado-en-av-arequipa-147360688.html
135,"S/ 2,350",S/ 280 Mantenimiento,jr pedro martinto 114,"Barranco, Lima",42 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-mini-depa-en-barranco-s-.-2-350-pedro-144835285.html
135,S/ 960,,8 De Marzo 129,"Carabayllo, Comas",100 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-grande-depa-100-m-sup2--cerca-a-est.-143724060.html
135,"S/ 2,500",S/ 250 Mantenimiento,Av. Republica de Panama 4077,"Surquillo, Lima",70 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-bonito-departamento-surquillo-limite-con-san-147258115.html
135,"S/ 2,400 · USD 630",,SERGIO BERNALES,"Surquillo, Lima",97 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-en-surquillo-145358648.html
135,"S/ 1,850 · USD 525",S/ 150 Mantenimiento,Carlos Arrieta,"Barranco, Lima",30 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-bonito-monoambiente-barranco-147353325.html
135,"S/ 2,200",,Av Arequipa 2651,"Risso, Lince",59 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-lindo-espacioso-iluminado-departamento-en-147351896.html
135,"S/ 2,250 · USD 600",S/ 200 Mantenimiento,"Av Pablo Carriquiry 894, Dpto. 1506, San Isidro","San Isidro, Lima",44 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-estreno-en-san-isidro-piso-146970699.html
135,"S/ 1,000 · USD 278",,Calle Colmenares,"La Molina, Lima",30 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-monoambiente-semi-amoblado-piso-4-147331611.html
135,S/ 750 · USD 215,,Conjunto Residencial Mirador DEL Golf II Etapa,"Ñaña, Chaclacayo",65 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-el-mirador-del-golf-ii-etapa-nana-147330657.html
