mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
400.0,123.0,3.0,3.0,1.0,0.0,5,2,7,1,765624.0
580.0,91.0,2.0,2.0,1.0,19.0,5,0,7,1,718000.0
,85.0,3.0,2.0,1.0,22.0,2,0,7,2,647500.0
380.0,90.0,3.0,2.0,1.0,12.0,3,0,7,2,670100.0
200.0,40.0,1.0,1.0,0.0,0.0,4,1,7,1,428259.0
,111.0,3.0,2.0,2.0,13.0,3,0,7,3,994160.0
400.0,70.0,2.0,2.0,1.0,4.0,8,0,7,2,619000.0
,95.0,3.0,3.0,1.0,15.0,5,0,7,2,837500.0
,340.0,6.0,4.0,3.0,0.0,11,0,7,2,1546000.0
6500.0,544.0,3.0,2.0,14.0,12.0,0,0,7,1,4032672.0
,100.0,1.0,1.0,1.0,16.0,16,0,7,3,564460.0
,100.0,3.0,3.0,2.0,48.0,7,1,7,2,1200000.0
750.0,154.0,2.0,2.0,2.0,6.0,5,0,7,1,1587000.0
800.0,210.0,3.0,3.0,2.0,7.0,5,0,7,1,1873800.0
600.0,127.0,3.0,3.0,1.0,11.0,2,0,7,2,788307.0
503.0,97.0,3.0,1.0,2.0,53.0,5,0,7,2,581160.0
680.0,169.0,3.0,2.0,1.0,47.0,1,0,7,1,1242000.0
650.0,168.0,3.0,2.0,2.0,2.0,12,0,7,3,1156000.0
783.0,123.0,2.0,2.0,1.0,8.0,7,0,7,3,1118600.0
750.0,172.0,4.0,3.0,2.0,20.0,16,0,7,3,1088750.0
360.0,74.0,2.0,2.0,1.0,0.0,7,0,7,3,766000.0
1000.0,198.0,3.0,3.0,3.0,43.0,7,0,7,3,1625000.0
1300.0,215.0,3.0,3.0,2.0,12.0,13,0,7,1,2147200.0
440.0,68.0,3.0,2.0,1.0,8.0,3,1,7,1,643800.0
300.0,127.0,2.0,2.0,0.0,0.0,1,0,7,2,671925.0
,150.0,3.0,2.0,0.0,0.0,7,0,7,2,1263240.0
380.0,69.0,2.0,2.0,1.0,3.0,2,0,7,2,630000.0
400.0,119.0,5.0,2.0,1.0,16.0,1,1,7,2,793000.0
420.0,61.0,1.0,1.0,1.0,9.0,3,1,7,1,572500.0
850.0,218.0,3.0,3.0,3.0,13.0,4,0,7,1,1735000.0
483.0,112.0,3.0,2.0,0.0,19.0,6,0,7,3,873600.0
500.0,221.0,3.0,3.0,2.0,15.0,5,1,7,2,1548933.0
350.0,89.0,3.0,2.0,1.0,20.0,16,0,7,3,614100.0
1.0,80.0,2.0,2.0,1.0,0.0,9,0,7,1,717500.0
380.0,82.0,2.0,2.0,0.0,5.0,8,0,7,2,705600.0
,190.0,7.0,4.0,0.0,20.0,11,1,7,1,2210000.0
,320.0,3.0,2.0,5.0,25.0,7,0,7,3,3795000.0
200.0,41.0,1.0,1.0,0.0,0.0,8,0,7,1,430000.0
,342.0,3.0,2.0,0.0,60.0,10,0,7,1,2244000.0
375.0,155.0,3.0,2.0,1.0,60.0,9,0,7,3,808463.0
850.0,240.0,3.0,3.0,2.0,14.0,3,0,7,1,1955000.0
390.0,138.0,3.0,1.0,0.0,58.0,7,0,7,3,655000.0
,418.0,5.0,4.0,2.0,55.0,8,0,7,1,2572500.0
550.0,132.0,3.0,2.0,1.0,9.0,12,0,7,3,850000.0
550.0,75.0,2.0,2.0,0.0,2.0,10,0,7,2,663250.0
518.0,152.0,3.0,2.0,2.0,43.0,3,1,7,1,944160.0
,250.0,4.0,4.0,2.0,34.0,9,0,7,3,2200000.0
330.0,83.0,2.0,2.0,1.0,22.0,5,2,7,2,663000.0
1155.0,310.0,3.0,4.0,2.0,57.0,5,0,7,2,1897200.0
,92.0,2.0,3.0,1.0,15.0,0,0,7,1,650160.0
10.0,289.0,3.0,2.0,0.0,18.0,3,0,7,2,1550200.0
,234.0,3.0,5.0,2.0,0.0,2,0,7,2,3325000.0
700.0,155.0,3.0,3.0,0.0,0.0,2,0,7,2,1358000.0
,132.0,2.0,2.0,2.0,0.0,5,0,7,2,1017750.0
345.0,69.0,2.0,2.0,0.0,0.0,2,0,7,2,483419.0
1600.0,312.0,3.0,3.0,3.0,5.0,1,0,7,1,5075000.0
850.0,193.0,3.0,2.0,2.0,13.0,3,0,7,1,2108000.0
550.0,114.0,1.0,1.0,1.0,46.0,9,0,7,3,727750.0
300.0,66.0,1.0,2.0,0.0,1.0,17,3,7,3,520000.0
230.0,12.0,3.0,2.0,0.0,10.0,12,3,7,3,171000.0
200.0,180.0,3.0,3.0,2.0,15.0,12,1,7,1,1003000.0
360.0,80.0,3.0,2.0,1.0,0.0,1,0,7,2,837900.0
1400.0,257.0,3.0,3.0,3.0,4.0,12,0,7,1,3285000.0
380.0,90.0,1.0,1.0,1.0,3.0,8,0,7,3,780000.0
,400.0,3.0,2.0,4.0,11.0,7,0,7,3,2750000.0
700.0,122.0,3.0,3.0,1.0,8.0,2,0,7,2,1020000.0
1000.0,204.0,3.0,3.0,3.0,16.0,12,0,7,1,1518000.0
,757.0,7.0,4.0,5.0,30.0,7,0,7,3,8624508.0
650.0,282.0,3.0,3.0,2.0,22.0,23,3,7,4,1425000.0
,300.0,5.0,3.0,3.0,49.0,10,0,7,3,2784000.0
200.0,83.0,3.0,2.0,1.0,1.0,2,0,7,2,721700.0
,197.0,3.0,3.0,2.0,5.0,8,0,7,1,1864500.0
300.0,76.0,2.0,1.0,1.0,27.0,16,1,7,3,500000.0
600.0,274.0,3.0,3.0,2.0,15.0,7,0,7,3,1295000.0
9.0,403.0,3.0,2.0,4.0,5.0,9,0,7,1,2682600.0
,359.0,4.0,3.0,2.0,18.0,9,0,7,2,1906150.0
360.0,60.0,2.0,2.0,2.0,0.0,3,1,7,1,666000.0
1965.0,545.0,5.0,5.0,3.0,21.0,3,0,7,1,4623000.0
200.0,120.0,4.0,3.0,1.0,0.0,14,0,7,1,724600.0
