mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
838.0,164.0,3.0,3.0,1.0,29.0,1,0,7,1,1055000.0
1950.0,371.0,4.0,5.0,2.0,19.0,7,0,7,1,1650000.0
360.0,77.0,3.0,2.0,1.0,8.0,18,0,6,2,450000.0
,210.0,9.0,6.0,1.0,5.0,6,0,10,1,871230.0
290.0,78.0,2.0,2.0,0.0,3.0,16,0,8,3,525000.0
,458.0,5.0,5.0,4.0,20.0,12,0,7,3,2605000.0
,217.0,3.0,2.0,2.0,0.0,5,0,7,1,1399000.0
,120.0,2.0,2.0,0.0,25.0,33,0,2,3,490000.0
120.0,160.0,7.0,4.0,2.0,10.0,4,0,8,3,446355.0
,258.0,3.0,4.0,2.0,0.0,9,0,7,1,1757600.0
,7.0,3.0,2.0,0.0,2.0,3,1,4,4,218400.0
,76.0,3.0,2.0,0.0,0.0,9,1,7,1,654165.0
,90.0,3.0,3.0,1.0,27.0,2,0,7,1,504000.0
50.0,68.0,2.0,2.0,1.0,9.0,16,0,2,3,202350.0
400.0,118.0,3.0,2.0,0.0,0.0,18,0,6,2,889000.0
150.0,100.0,3.0,2.0,1.0,10.0,9,0,8,4,487200.0
530.0,43.0,3.0,3.0,1.0,6.0,9,0,7,1,428562.0
,200.0,5.0,4.0,2.0,44.0,1,0,7,1,1507500.0
1500.0,558.0,4.0,6.0,4.0,18.0,0,0,7,1,2898200.0
100.0,14.0,2.0,2.0,0.0,6.0,5,0,4,2,180000.0
500.0,230.0,4.0,4.0,2.0,26.0,5,0,7,1,1271250.0
,10000.0,4.0,4.0,0.0,7.0,1,0,9,1,2236000.0
,125.0,3.0,2.0,4.0,0.0,13,1,8,3,908858.0
2000.0,393.0,3.0,2.0,8.0,10.0,7,0,7,1,2706880.0
,91.0,3.0,3.0,0.0,0.0,17,0,2,3,799210.0
1.0,95.0,3.0,3.0,1.0,1.0,0,0,10,1,404400.0
800.0,196.0,3.0,3.0,2.0,16.0,11,0,7,4,1394400.0
600.0,170.0,3.0,2.0,1.0,18.0,1,0,7,1,1278864.0
80.0,107.0,3.0,2.0,0.0,0.0,7,0,3,3,321780.0
,429.0,5.0,4.0,1.0,43.0,12,1,7,1,2755200.0
,278.0,4.0,5.0,2.0,10.0,0,0,7,1,945000.0
300.0,288.0,3.0,2.0,2.0,15.0,6,0,7,1,1278000.0
,101.0,3.0,3.0,1.0,10.0,13,0,6,2,642600.0
800.0,388.0,3.0,3.0,2.0,40.0,3,0,7,1,2412000.0
,863.0,4.0,4.0,4.0,0.0,1,0,7,1,4141200.0
400.0,235.0,3.0,3.0,4.0,25.0,12,1,7,1,1197000.0
800.0,241.0,3.0,3.0,2.0,12.0,3,0,7,1,1288600.0
,300.0,3.0,2.0,0.0,3.0,18,0,8,3,2720000.0
,1000.0,4.0,8.0,3.0,3.0,14,0,8,4,3132500.0
,108.0,3.0,2.0,0.0,0.0,8,0,8,2,450000.0
1200.0,208.0,3.0,3.0,3.0,15.0,2,0,7,1,1420000.0
9.0,309.0,3.0,3.0,5.0,7.0,1,1,7,1,2814000.0
,90.0,2.0,1.0,0.0,10.0,17,0,2,3,241200.0
,511.0,5.0,3.0,3.0,29.0,2,0,7,1,2243000.0
280.0,114.0,3.0,2.0,0.0,0.0,10,0,6,2,551000.0
,1027.0,2.0,2.0,8.0,30.0,12,1,7,1,6715000.0
,59.0,2.0,2.0,0.0,0.0,11,0,8,4,481000.0
,271.0,4.0,3.0,2.0,51.0,8,0,7,1,1734000.0
,2597.0,5.0,4.0,0.0,0.0,0,0,9,1,591500.0
1230050.0,198.0,3.0,1.0,2.0,35.0,4,1,7,1,968150.0
,79.0,2.0,1.0,0.0,20.0,18,0,2,3,206500.0
,200.0,4.5,3.5,0.0,0.0,28,0,8,4,650000.0
,254.0,7.0,4.0,2.0,49.0,5,0,7,1,1855620.0
,150.0,3.0,8.0,0.0,35.0,28,0,2,3,3373420.0
,1002.0,5.0,4.0,2.0,40.0,2,0,7,1,3227000.0
520.0,167.0,3.0,3.0,2.0,10.0,7,0,7,1,1327200.0
,133.0,3.0,3.0,1.0,0.0,10,0,7,2,819600.0
,122.0,3.0,3.0,0.0,0.0,5,0,7,1,1387103.0
,71.0,3.0,2.0,0.0,0.0,6,0,7,1,677344.0
400.0,90.0,2.0,2.0,2.0,3.0,31,0,6,3,733000.0
,87.0,2.0,1.0,0.0,35.0,0,0,6,1,375000.0
450.0,152.0,3.0,2.0,2.0,15.0,7,0,7,1,950000.0
,1059.0,4.0,4.0,4.0,14.0,2,0,8,1,4177200.0
,55.0,2.0,1.0,0.0,30.0,16,0,7,4,234600.0
490.0,83.0,3.0,3.0,1.0,4.0,11,0,8,2,810300.0
,61.0,7.0,2.0,0.0,25.0,14,0,7,4,365000.0
,190.0,3.0,2.5,0.0,0.0,13,0,9,4,385000.0
