precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
1398400.0,380000.0,1000.0,295.0,7.0,7.0,2.0,9.0,80.0,2026-05-01,,,https://www.adondevivir.com/propiedades/clasificado/veclcpin-vendo-hermosa-casa-de-playa-en-condominio-coral-asia-146333974.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=3&n_pos=16,"playa coral, asia"
1085000.0,310000.0,,236.0,5.0,5.0,2.0,0.0,103.0,2025-09-09,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-exclusivos-departamentos-en-la-aurora-miraflores-147548771.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=17,"c teniente coronel gustavo escudero otero 266 lima 15048, miraflores"
2312000.0,680000.0,,269.0,15.0,17.0,,25.0,,2026-04-20,,,https://www.adondevivir.com/propiedades/clasificado/veclhtin-vta-hostal-operativo-2-locales-en-centro-historico-149588026.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=3&n_pos=18,"jr lima, maynas"
706000.0,211000.0,,243.0,5.0,5.0,1.0,0.0,59.0,2026-04-07,sjm,D,https://www.adondevivir.com/propiedades/clasificado/veclcain--ocasion!-venta-de-casa-2-pisos-243-m-sup2--san-juan-149471125.html?n_src=Listado&n_pills=Seguridad&n_pg=3&n_pos=19,"jose gabriel charriarse 1184 san juan de miraflores lima, san juan de miraflores"
4212500.0,1250000.0,,5000.0,,,,0.0,,2025-09-02,puente piedra,D,https://www.adondevivir.com/propiedades/clasificado/vecltein-en-venta-terreno-desde-5-000-m-sup2--en-lima-norte-147487655.html?n_src=Listado&n_pg=3&n_pos=20,"altura km 265 de la panamericana norte, puente piedra"
1000500.0,290000.0,215.0,290.0,5.0,5.0,1.0,1.0,28.0,2025-12-17,,,https://www.adondevivir.com/propiedades/clasificado/veclcpin-vendo-hermosa-casa-de-playa-de-3-pisos-en-condominio-148480279.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=21,"playa bujama alta, canete"
14600000.0,4000000.0,,3511.0,,,,50.0,63.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-vta.-c.-de-lima-jr.-huanucoterreno5-pisoszonif.-zte-90931096.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=3&n_pos=22,"jr huanuco, lima cercado"
971500.0,290000.0,100.0,300.0,3.0,3.0,2.0,17.0,90.0,2025-10-22,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-casa-de-2-pisos-y-azotea-de-300-m-sup2--en-147974568.html?n_src=Listado&n_pills=Gimnasio&n_pg=3&n_pos=23,"q2m3+6rx pje corsario lima 15067 peru, chorrillos"
157920.0,47000.0,,52.0,2.0,1.0,,0.0,39.0,2025-12-13,ves,D,https://www.adondevivir.com/propiedades/clasificado/veclapin-invierte-departamento-con-vista-exterior-de-2-148448134.html?n_src=Listado&n_pg=3&n_pos=24,"q3cf+qc5 200 millas lima 15836 peru, villa el salvador"
269500.0,77000.0,,78.0,3.0,1.0,,15.0,87.0,2026-01-05,los olivos,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-venta-en-prolima-los-olivos-de-78-148566629.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=3&n_pos=25,"c 15 mz f urb pro lima ii etapa los olivos, los olivos"
359200.0,,,123.0,3.0,2.0,,12.0,227.0,2026-02-23,surco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-entidad-financiera-remata-departamento-de-tres-dorm.-149042292.html?n_src=Listado&n_pg=3&n_pos=26,"se vende departamento en jr maximiliano velarde - surco - lima_bc-1006-1 / 01295, santiago de surco"
95000.0,25000.0,,90.0,,,,0.0,35.0,2025-10-03,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-en-venta-chilca-la-alameda-sur-90-m-sup2-147787979.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=3&n_pos=27,"manzana 6g lote 52 la alameda de lima sur km62, canete"
