mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
350.0,90.0,1.0,1.0,1.0,12.0,6,0,7,1,2050.0
220.0,84.0,2.0,2.0,1.0,15.0,17,0,6,2,2500.0
200.0,35.0,1.0,1.0,0.0,2.0,13,0,6,2,2000.0
,50.0,2.0,2.0,0.0,0.0,13,0,7,1,1250.0
220.0,25.0,1.0,1.0,0.0,5.0,2,1,7,1,1400.0
100.0,197.0,3.0,3.0,1.0,10.0,4,0,9,1,2200.0
,46.0,1.0,1.0,0.0,3.0,7,1,7,1,2860.0
,74.0,3.0,2.0,0.0,0.0,7,0,7,4,2000.0
280.0,65.0,2.0,2.0,0.0,0.0,3,0,7,1,3570.0
,60.0,1.0,1.0,1.0,1.0,4,0,6,2,1800.0
1270.0,316.0,4.0,3.0,2.0,37.0,6,0,7,1,8040.0
260.0,78.0,3.0,2.0,0.0,14.0,16,0,4,4,2000.0
900.0,262.0,4.0,3.0,2.0,9.0,8,1,7,2,5440.0
270.0,71.0,2.0,2.0,1.0,4.0,8,1,6,3,2950.0
120.0,59.0,2.0,2.0,0.0,7.0,10,0,5,2,1350.0
50.0,54.0,2.0,1.0,0.0,2.0,11,0,2,3,1050.0
120.0,70.0,2.0,1.0,0.0,0.0,11,0,6,3,1700.0
,140.0,3.0,2.0,1.0,10.0,5,0,7,1,4250.0
240.0,64.0,2.0,2.0,0.0,2.0,6,0,8,2,2699.0
200.0,50.0,1.0,1.0,0.0,14.0,10,0,7,1,2400.0
,47.0,1.0,1.0,0.0,0.0,13,0,7,1,2300.0
,85.0,3.0,2.0,1.0,7.0,20,0,6,3,3150.0
,120.0,3.0,2.0,0.0,10.0,15,0,5,3,1700.0
200.0,70.0,2.0,1.0,0.0,8.0,11,1,7,1,2700.0
270.0,75.0,3.0,2.0,1.0,5.0,17,0,4,4,2050.0
250.0,80.0,3.0,2.0,1.0,15.0,18,0,6,2,2300.0
150.0,30.0,1.0,1.0,0.0,10.0,29,0,4,4,1600.0
450.0,119.0,3.0,2.0,2.0,13.0,6,0,7,1,3740.0
100.0,100.0,2.0,2.0,0.0,50.0,31,0,6,3,2600.0
,56.0,2.0,2.0,0.0,0.0,0,0,6,1,2500.0
,47.0,1.0,1.0,1.0,8.0,19,0,6,3,2000.0
,40.0,1.0,1.0,0.0,3.0,5,0,7,1,1400.0
500.0,70.0,2.0,2.0,1.0,1.0,4,1,7,1,3970.0
,10.0,1.0,1.0,0.0,30.0,5,0,7,1,900.0
