precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,direccion_completa,latitud,longitud,URL
2701.0,730.0,220.0,85.0,3.0,2.0,1.0,0.0,17.0,2025-06-14,surquillo,C,"calle holbein 187, surquillo",-12.1136475,-76.9956675,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-lindo-y-exclusivo-dpto-de-estreno-situado-146722254.html
1500.0,409.0,200.0,75.0,3.0,1.0,,8.0,353.0,2025-06-14,san miguel,B,"av la libertad 1873, san miguel",-12.0774344,-77.0934137,https://www.adondevivir.com/propiedades/clasificado/alclapin--hermoso-departamento-en-zona-accesible-cerca-a-146558423.html
2800.0,775.0,190.0,190.0,3.0,2.0,,11.0,103.0,2025-06-14,magdalena,B,"jr salaverry 435, magdalena",-12.0945875,-77.07435559999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-depa-terraza-amplia-146616964.html
5262.0,355000.0,700.0,149.0,3.0,3.0,1.0,38.0,200.0,2025-01-17,miraflores,A,"malecon cisneros 1320 miraflores, miraflores",-12.119952,-77.04364129999999,https://www.adondevivir.com/propiedades/clasificado/veclapin-alquiler-o-venta-de-dpto-amoblado-en-malecon-cisneros-145485531.html
1100.0,303.0,,50.0,1.0,1.0,,20.0,73.0,2025-06-04,surco,A,"pasaje wilfredo palomino, santiago de surco",-12.1646349,-76.9864684,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-monoambiente-para-2-146632020.html
2000.0,,,50.0,1.0,1.0,1.0,25.0,35.0,2025-06-04,surco,A,"jr el galeon 555, santiago de surco",-12.1387974,-77.0046287,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-practico-y-acogedor-departamento-frente-a-146631052.html
3680.0,1000.0,420.0,105.0,2.0,2.0,1.0,0.0,20.0,2025-06-04,miraflores,A,"calle sevilla miraflores, miraflores",-12.1067208,-77.03047149999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-calle-sevilla-miraflores-146631053.html
2000.0,,160.0,50.0,1.0,1.0,,6.0,219.0,2025-06-04,surquillo,C,,-12.1124923,-77.0122039,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-amoblado-en-surquillo-145911990.html
2700.0,,,110.0,3.0,2.0,1.0,12.0,120.0,2025-06-04,surco,A,"jr loma umbrosa 628, santiago de surco",-12.1401329,-76.9858572,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-lindo-departamento-a-media-cuadra-de-145983893.html
3066.0,840.0,,103.0,2.0,2.0,1.0,41.0,59.0,2025-06-04,san borja,A,"wagner ricardo, san borja",-12.097919,-77.00207689999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amoblado-exclusivo-y-amplio-146630501.html
1700.0,467.0,190.0,54.0,3.0,1.0,,0.0,206.0,2025-06-04,surco,A,"comandante fap guillermo brenner, santiago de surco",-12.1564022,-76.9939384,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-lindo-departamento-de-estreno-en-surco-146421190.html
3260.0,900.0,300.0,68.0,2.0,2.0,1.0,12.0,18.0,2025-06-04,miraflores,A,"av 28 de julio miraflores, miraflores",-12.1282915,-77.0260415,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-miraflores-2-dorm.-1-cochera-146630374.html
2000.0,,200.0,70.0,2.0,2.0,1.0,,,,surquillo,C,"francisco moreno, surquillo",-12.1112771,-77.0245369,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-bonito-departamento-surquillo-cerca-146630045.html
1700.0,,,40.0,1.0,1.0,,15.0,51.0,2025-06-04,pueblo libre,B,"pque jose de la puente y olavegoya 115, pueblo libre",-12.0812285,-77.065467,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-mini-departamento-en-pueblo-libre-146629765.html
980.0,,,30.0,1.0,1.0,,1.0,123.0,2025-06-04,san miguel,B,,13.4792922,-88.1779182,https://www.adondevivir.com/propiedades/clasificado/alclapin-san-miguel-1-dormitorio-980-soles-servicios-incluidos-146627678.html
1700.0,,10.0,90.0,2.0,2.0,,,,,surco,A,"loma umbrosa con morrosolar, santiago de surco",-12.1398709,-76.9865357,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-amplio-departamento-en-surco-145425197.html
1100.0,,120.0,50.0,3.0,1.0,1.0,,,,comas,C,"calle los geranios - comas, comas",-11.9317165,-77.0636913,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-con-cochera-en-condominio-geranio-146626483.html
3650.0,,,103.0,3.0,3.0,1.0,6.0,,2025-06-04,surco,A,"po de la republica 7827, santiago de surco",-12.1456994,-76.99645,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-amplio-y-hermoso-dpto.-en-piso-10-vista-146626198.html
11970.0,3200.0,830.0,245.0,4.0,3.0,3.0,8.0,26.0,2025-06-04,san isidro,A,"tomas edison cdra 2, san isidro",-34.470829,-58.5286102,https://www.adondevivir.com/propiedades/clasificado/alclapin-flat-de-4habitaciones-en-san-isidro-146625249.html
2300.0,,70.0,60.0,1.0,1.0,,38.0,,2025-06-04,san isidro,A,"emilio cavenecia cdra 2, san isidro",-12.0970297,-77.03391189999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departamento-en-4-piso-con-comodas-escaleras-146625252.html
4500.0,1250.0,600.0,90.0,2.0,2.0,1.0,3.0,,2025-06-04,miraflores,A,"calle colon altura cdra 6, miraflores",-12.122486,-77.0313539,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-miraflores-146625248.html
2560.0,700.0,170.0,53.0,1.0,1.0,,8.0,,2025-06-04,lince,B,"manco segundo al cdra 25, lince",-12.0782498,-77.0991391,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-limite-de-lince-con-san-isidro-146625242.html
2920.0,800.0,380.0,44.0,1.0,1.0,,1.0,,2025-06-04,san isidro,A,"calle 27 de noviembre cdra 4, san isidro",-34.470829,-58.5286102,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-amoblado-y-equipado-en-san-isidro-146625239.html
6200.0,1650.0,500.0,110.0,2.0,2.0,2.0,0.0,,2025-06-04,san isidro,A,"javier prado oeste cdra 23, san isidro",-34.470829,-58.5286102,https://www.adondevivir.com/propiedades/clasificado/alclapin-flat-con-hermosa-vista-146625234.html
5980.0,1600.0,720.0,129.0,3.0,2.0,1.0,30.0,,2025-06-04,san isidro,A,"baltazar la torre al cdra 1, san isidro",-34.470829,-58.5286102,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto-en-segundo-piso-sin-ascensor-146625230.html
2400.0,,100.0,72.0,2.0,1.0,1.0,,,,surquillo,C,"palo blanco cdra 1, surquillo",-12.1243216,-77.0019889,https://www.adondevivir.com/propiedades/clasificado/alclapin-dpto-frente-a-parque-en-1er-piso-146625227.html
5040.0,1400.0,,100.0,2.0,2.0,1.0,6.0,,2025-06-04,lince,B,"manuel villavicencio al 1200, lince",-12.0848075,-77.0355629,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-lince-146625219.html
4500.0,1250.0,600.0,95.0,2.0,2.0,1.0,4.0,,2025-06-04,miraflores,A,"calle colon zona larcomar, miraflores",-12.1319578,-77.03049159999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto-amoblado-a-1cdra-de-larcomar-malecon-146625200.html
4860.0,1390.0,600.0,95.0,2.0,2.0,1.0,5.0,,2025-06-04,miraflores,A,"calle colon cdra 6, miraflores",-12.1280889,-77.0312679,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-flat-en-miraflores-amoblado-y-equipado-146625204.html
6300.0,1750.0,730.0,140.0,2.0,2.0,2.0,15.0,,2025-06-04,miraflores,A,"malecon 28 de julio cdra 6, miraflores",-12.1261483,-77.0336387,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-frente-al-malecon-a-pasos-de-larcomar-146625203.html
4930.0,1350.0,550.0,100.0,1.0,2.0,1.0,4.0,34.0,2025-06-04,miraflores,A,"calle colon 635 miraflores, miraflores",-12.1294864,-77.0315959,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-miraflores-146529693.html
3350.0,900.0,269.0,75.0,2.0,2.0,1.0,5.0,19.0,2025-06-04,lince,B,"calle manuel villavicencio al cdra 8, lince",-12.0848075,-77.0355629,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-flat-frente-al-parque-castilla-146625202.html
3680.0,1000.0,100.0,100.0,3.0,2.0,1.0,7.0,37.0,2025-06-04,lince,B,"alberto alexander 2684, lince",-12.0909621,-77.0467992,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-lince-limite-con-san-146624330.html
4050.0,1080.0,420.0,105.0,2.0,2.0,2.0,0.0,15.0,2025-06-04,miraflores,A,"calle sevilla, miraflores",-12.1067208,-77.03047149999999,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-2-hab-estreno-y-amplia-146624307.html
2900.0,780.0,280.0,90.0,1.0,2.0,1.0,10.0,,2025-06-04,miraflores,A,"av arequipa, miraflores",-12.1116513,-77.0302992,https://www.adondevivir.com/propiedades/clasificado/alclapin-amplio-departamento-en-alquiler-de-1-hab-en-miraflores-146624264.html
2000.0,550.0,,65.0,1.0,1.0,1.0,,,,miraflores,A,"calle tacna, miraflores",-12.1114484,-77.0280241,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-amplio-65-m-sup2--1dormitorio-145951702.html
900.0,,,49.0,2.0,1.0,,20.0,379.0,2025-06-04,surco,A,"av los proceres surco, santiago de surco",-12.156504,-76.989894,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto.-piso-5-surco-146554717.html
2100.0,,,100.0,3.0,3.0,1.0,10.0,143.0,2025-06-04,jesus maria,B,"altuta jr natalio sanchez, jesus maria",-12.0824947,-77.0506092,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-amplio-3dorm.-s-2100-cochera-zona-146623809.html
2600.0,700.0,330.0,120.0,3.0,2.0,,10.0,,,jesus maria,B,"jr nazca 656, jesus maria",-12.0708118,-77.0426895,https://www.adondevivir.com/propiedades/clasificado/alclapin-ideal-flat-en-el-corazon-de-jesus-maria-sin-amoblar-146450167.html
1500.0,,,80.0,2.0,1.0,1.0,1.0,28.0,2025-06-04,comas,C,"pablo de olavide, comas",-11.9399375,-77.0525868,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-hermoso-y-moderno-departamento-en-2do-piso-en-141747037.html
2100.0,570.0,280.0,58.0,2.0,1.0,1.0,,,,surquillo,C,"calle los negocios surquillo, surquillo",-12.1050903,-77.0207903,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-hermoso-departamento-57.97-m-sup2--02-146621151.html
3420.0,950.0,634.0,94.0,2.0,2.0,1.0,12.0,,2025-06-03,miraflores,A,"ramon zavala, miraflores",-12.1211984,-77.0390233,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-flat-equipado-de-2-dorm.-en-ramon-zavala-146620886.html
2500.0,600.0,200.0,110.0,3.0,2.0,,6.0,,,surco,A,"loma de los nardos 123 surco, santiago de surco",-12.1414415,-76.9862528,https://www.adondevivir.com/propiedades/clasificado/alclapin-excelente-dpto.-alquiler-surco-loma-de-los-nardos-123-146620497.html
11470.0,3100.0,1400.0,384.0,4.0,4.0,2.0,5.0,28.0,2025-06-03,miraflores,A,"la paz 1610, miraflores",-12.122486,-77.0313539,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-penthouse-en-alquiler-en-armendariz-amoblado-y-146493923.html
