precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,zona_apeim_cod
3633.0,200.0,70.0,1.0,1.0,1.0,7.0,7.0
3200.0,574.0,80.0,2.0,2.0,2.0,2.0,7.0
4360.0,550.0,127.0,3.0,2.0,2.0,8.0,7.0
4180.0,900.0,90.0,,2.0,1.0,8.0,7.0
3449.0,400.0,95.0,2.0,2.0,1.0,5.0,7.0
3500.0,400.0,94.0,2.0,2.0,2.0,8.0,7.0
4500.0,380.0,120.0,3.0,2.0,1.0,5.0,7.0
3500.0,750.0,93.0,1.0,1.0,2.0,8.0,7.0
4070.0,340.0,100.0,2.0,2.0,1.0,8.0,7.0
3200.0,350.0,100.0,2.0,2.0,1.0,10.0,7.0
3300.0,300.0,90.0,3.0,2.0,1.0,20.0,7.0
4455.0,550.0,100.0,2.0,2.0,2.0,3.0,7.0
3102.0,385.0,83.0,2.0,2.0,1.0,8.0,7.0
3375.0,300.0,82.0,3.0,2.0,1.0,9.0,7.0
4197.0,450.0,120.0,2.0,3.0,1.0,11.0,7.0
4488.0,480.0,125.0,2.0,2.0,2.0,9.0,7.0
3201.0,440.0,85.0,2.0,2.0,1.0,16.0,7.0
3700.0,475.0,120.0,3.0,2.0,1.0,15.0,7.0
4390.0,500.0,128.0,3.0,3.0,2.0,10.0,7.0
4037.0,400.0,150.0,2.0,2.0,1.0,6.0,7.0
3300.0,,140.0,2.0,3.0,2.0,,7.0
3577.0,500.0,155.0,3.0,2.0,1.0,55.0,7.0
4488.0,492.0,115.0,3.0,2.0,1.0,10.0,7.0
3480.0,150.0,120.0,3.0,3.0,2.0,25.0,7.0
3990.0,200.0,120.0,2.0,1.0,2.0,20.0,7.0
4200.0,450.0,97.0,3.0,2.0,1.0,19.0,7.0
3600.0,350.0,78.0,3.0,2.0,,0.0,7.0
3102.0,430.0,78.0,1.0,2.0,1.0,,7.0
3885.0,560.0,86.0,2.0,2.0,1.0,0.0,7.0
4152.0,500.0,104.0,2.0,2.0,1.0,14.0,7.0
3330.0,350.0,110.0,2.0,2.0,1.0,20.0,7.0
3320.0,300.0,110.0,3.0,2.0,1.0,10.0,7.0
4059.0,460.0,149.0,3.0,2.0,2.0,6.0,7.0
3367.0,550.0,147.0,2.0,2.0,2.0,3.0,7.0
3312.0,380.0,115.0,3.0,2.0,,5.0,7.0
3270.0,400.0,135.0,2.0,3.0,1.0,3.0,7.0
4356.0,300.0,125.0,2.0,2.0,1.0,4.0,7.0
4174.0,350.0,84.0,1.0,1.0,1.0,13.0,7.0
3400.0,,45.0,1.0,2.0,,1.0,7.0
4147.0,320.0,60.0,2.0,2.0,1.0,8.0,7.0
3441.0,150.0,100.0,2.0,2.0,,37.0,7.0
3400.0,400.0,90.0,3.0,2.0,1.0,15.0,7.0
4368.0,480.0,120.0,2.0,2.0,2.0,17.0,7.0
3162.0,400.0,80.0,2.0,2.0,1.0,4.0,7.0
3500.0,280.0,58.0,2.0,2.0,1.0,0.0,7.0
3630.0,480.0,85.0,2.0,2.0,1.0,2.0,7.0
4320.0,380.0,84.0,2.0,2.0,1.0,1.0,7.0
4345.0,480.0,123.0,3.0,3.0,1.0,17.0,7.0
3250.0,315.0,93.0,2.0,3.0,1.0,6.0,7.0
3515.0,350.0,85.0,2.0,3.0,1.0,13.0,7.0
3200.0,400.0,80.0,2.0,2.0,1.0,4.0,7.0
3100.0,300.0,100.0,3.0,2.0,1.0,10.0,7.0
3380.0,528.0,62.0,2.0,2.0,1.0,0.0,7.0
4151.0,,91.0,2.0,2.0,1.0,10.0,7.0
3200.0,380.0,96.0,3.0,3.0,1.0,10.0,7.0
3420.0,350.0,101.0,3.0,2.0,1.0,10.0,7.0
3436.0,750.0,93.0,2.0,1.0,2.0,6.0,7.0
3600.0,300.0,65.0,2.0,2.0,,1.0,7.0
4048.0,430.0,104.0,3.0,2.0,1.0,20.0,7.0
3450.0,400.0,90.0,3.0,2.0,,5.0,7.0
4149.0,528.0,62.0,2.0,2.0,,,7.0
3430.0,528.0,62.0,2.0,2.0,,0.0,7.0
3400.0,,156.0,4.0,3.0,1.0,15.0,7.0
3120.0,480.0,86.0,2.0,1.0,1.0,18.0,7.0
4461.0,295.0,125.0,2.0,2.0,1.0,4.0,7.0
3375.0,400.0,98.0,4.0,3.0,2.0,7.0,7.0
3700.0,520.0,68.0,2.0,2.0,1.0,0.0,7.0
4558.0,,63.0,2.0,2.0,1.0,1.0,7.0
3558.0,400.0,115.0,3.0,2.0,1.0,4.0,7.0
4400.0,450.0,82.0,3.0,2.0,2.0,0.0,7.0
