precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,num_colegios_prox,num_hospitales_prox,total_ambientes,tiene_estac,tamano_cod,antiguedad_cod,nivel_socioeconomico_cod,total_servicios_prox
1750.0,160.0,70.0,3.0,2.0,,,,0,0,5.0,0,2.0,,2.0,0
1200.0,,30.0,1.0,1.0,,1.0,156.0,11,3,2.0,0,1.0,1.0,1.0,16
1200.0,,60.0,2.0,1.0,,1.0,201.0,18,1,3.0,0,2.0,1.0,3.0,21
1690.0,,70.0,2.0,1.0,,1.0,84.0,8,0,3.0,0,2.0,1.0,3.0,8
4015.0,550.0,152.0,3.0,3.0,2.0,0.0,101.0,10,1,6.0,1,3.0,1.0,1.0,11
1400.0,,60.0,2.0,1.0,,1.0,82.0,7,0,3.0,0,2.0,1.0,1.0,7
7728.0,1200.0,1200.0,3.0,4.0,4.0,15.0,,4,4,7.0,1,3.0,2.0,1.0,8
8736.0,1100.0,198.0,3.0,3.0,1.0,25.0,36.0,3,1,6.0,1,3.0,3.0,1.0,4
6720.0,650.0,160.0,2.0,2.0,2.0,1.0,,1,0,4.0,1,3.0,1.0,1.0,1
3467.0,400.0,80.0,2.0,1.0,2.0,10.0,15.0,12,0,3.0,1,2.0,2.0,1.0,13
5110.0,760.0,126.0,2.0,3.0,2.0,0.0,47.0,1,0,5.0,1,3.0,1.0,1.0,1
1400.0,,50.0,1.0,1.0,,1.0,178.0,8,0,2.0,0,1.0,1.0,2.0,10
3500.0,300.0,85.0,2.0,2.0,1.0,8.0,42.0,12,0,4.0,1,2.0,2.0,1.0,12
2892.0,350.0,40.0,1.0,1.0,1.0,2.0,,8,0,2.0,1,1.0,1.0,1.0,8
2372.0,219.0,50.0,1.0,1.0,1.0,18.0,,7,5,2.0,1,1.0,2.0,1.0,12
2700.0,320.0,72.0,3.0,2.0,1.0,0.0,54.0,10,0,5.0,1,2.0,1.0,3.0,10
4562.0,800.0,135.0,2.0,2.0,2.0,3.0,27.0,5,2,4.0,1,3.0,1.0,1.0,7
2960.0,,69.0,2.0,1.0,,25.0,59.0,0,0,3.0,0,2.0,3.0,1.0,0
1700.0,165.0,40.0,1.0,1.0,,1.0,20.0,16,0,2.0,0,1.0,1.0,2.0,17
4347.0,,93.0,2.0,2.0,2.0,10.0,28.0,8,1,4.0,1,2.0,2.0,1.0,13
3890.0,587.0,90.0,3.0,2.0,1.0,0.0,70.0,8,1,5.0,1,2.0,1.0,1.0,9
3900.0,630.0,137.0,3.0,2.0,2.0,5.0,43.0,7,0,5.0,1,3.0,1.0,1.0,7
2000.0,287.0,70.0,3.0,2.0,1.0,8.0,,8,0,5.0,1,2.0,2.0,2.0,9
3200.0,50.0,250.0,6.0,4.0,,5.0,,0,0,10.0,0,3.0,1.0,2.0,0
3240.0,350.0,110.0,2.0,3.0,1.0,6.0,,8,0,5.0,1,3.0,2.0,1.0,9
2050.0,230.0,70.0,2.0,,,5.0,67.0,17,1,,0,2.0,1.0,3.0,19
1650.0,190.0,33.0,1.0,1.0,,4.0,169.0,16,0,2.0,0,1.0,1.0,2.0,17
2900.0,350.0,84.0,1.0,2.0,1.0,5.0,79.0,5,2,3.0,1,2.0,1.0,1.0,7
2300.0,300.0,75.0,3.0,2.0,,4.0,50.0,16,0,5.0,0,2.0,1.0,2.0,17
3970.0,430.0,113.0,3.0,2.0,1.0,13.0,17.0,1,0,5.0,1,3.0,2.0,1.0,2
1700.0,140.0,45.0,1.0,1.0,,7.0,34.0,10,0,2.0,0,1.0,2.0,2.0,10
2590.0,250.0,55.0,2.0,2.0,1.0,0.0,91.0,3,0,4.0,1,2.0,1.0,1.0,4
4197.0,490.0,90.0,2.0,2.0,,1.0,44.0,3,1,4.0,0,2.0,1.0,1.0,6
1490.0,,150.0,3.0,1.0,,5.0,24.0,14,0,4.0,0,3.0,1.0,3.0,16
1600.0,100.0,40.0,1.0,1.0,,10.0,104.0,6,0,2.0,0,1.0,2.0,1.0,6
2600.0,250.0,70.0,2.0,1.0,,15.0,19.0,6,2,3.0,0,2.0,2.0,1.0,8
890.0,120.0,65.0,3.0,2.0,,2.0,30.0,3,0,5.0,0,2.0,1.0,3.0,3
1590.0,,100.0,2.0,1.0,,10.0,,0,0,3.0,0,2.0,2.0,3.0,0
2847.0,300.0,55.0,1.0,1.0,1.0,20.0,38.0,9,1,2.0,1,2.0,2.0,1.0,10
1290.0,,80.0,3.0,2.0,,5.0,,0,0,5.0,0,2.0,1.0,3.0,0
1990.0,250.0,57.0,2.0,2.0,,5.0,61.0,20,3,4.0,0,2.0,1.0,2.0,23
1790.0,190.0,60.0,2.0,2.0,,1.0,,7,2,4.0,0,2.0,1.0,2.0,11
990.0,130.0,67.0,3.0,2.0,,1.0,,17,0,5.0,0,2.0,1.0,3.0,17
2920.0,250.0,55.0,1.0,1.0,1.0,3.0,,8,0,2.0,1,2.0,1.0,1.0,8
1500.0,300.0,56.0,2.0,2.0,,0.0,79.0,0,0,4.0,0,2.0,1.0,3.0,0
5040.0,440.0,184.0,3.0,3.0,1.0,13.0,57.0,7,1,6.0,1,3.0,2.0,1.0,8
1390.0,30.0,90.0,3.0,2.0,,10.0,42.0,0,0,5.0,0,2.0,2.0,3.0,0
2090.0,,40.0,1.0,1.0,,2.0,76.0,10,0,2.0,0,1.0,1.0,1.0,11
1100.0,,45.0,1.0,,,7.0,214.0,11,0,,0,1.0,2.0,2.0,12
11400.0,,176.0,3.0,2.0,2.0,3.0,,0,0,5.0,1,3.0,1.0,2.0,0
2900.0,480.0,90.0,3.0,2.0,,20.0,58.0,4,1,5.0,0,2.0,2.0,1.0,5
1995.0,280.0,53.0,1.0,1.0,,1.0,,5,0,2.0,0,2.0,1.0,2.0,5
2000.0,150.0,52.0,1.0,1.0,,19.0,51.0,3,0,2.0,0,2.0,2.0,1.0,4
3500.0,250.0,71.0,2.0,2.0,1.0,2.0,128.0,5,2,4.0,1,2.0,1.0,2.0,7
820.0,130.0,72.0,3.0,1.0,,6.0,,3,0,4.0,0,2.0,2.0,3.0,3
1600.0,250.0,70.0,3.0,2.0,1.0,7.0,215.0,14,1,5.0,1,2.0,2.0,3.0,15
2700.0,340.0,50.0,2.0,1.0,1.0,0.0,17.0,6,1,3.0,1,1.0,1.0,1.0,7
1200.0,,30.0,1.0,1.0,,28.0,47.0,18,0,2.0,0,1.0,3.0,2.0,18
3495.0,350.0,86.0,2.0,2.0,1.0,5.0,23.0,5,2,4.0,1,2.0,1.0,1.0,7
1800.0,100.0,73.0,2.0,2.0,,5.0,153.0,10,1,4.0,0,2.0,1.0,1.0,11
1290.0,150.0,65.0,2.0,2.0,,1.0,18.0,10,0,4.0,0,2.0,1.0,3.0,10
3470.0,350.0,83.0,2.0,3.0,,9.0,,12,0,5.0,0,2.0,2.0,2.0,12
3050.0,160.0,45.0,1.0,1.0,,0.0,60.0,4,0,2.0,0,1.0,1.0,1.0,4
800.0,93.0,50.0,2.0,1.0,,,,8,0,3.0,0,1.0,,3.0,8
4171.0,320.0,86.0,3.0,2.0,1.0,0.0,24.0,9,3,5.0,1,2.0,1.0,1.0,12
2100.0,170.0,94.0,2.0,2.0,1.0,,,4,2,4.0,1,2.0,,2.0,8
4723.0,1.0,110.0,3.0,2.0,1.0,15.0,,9,0,5.0,1,3.0,2.0,1.0,11
2800.0,250.0,96.0,3.0,2.0,1.0,3.0,62.0,9,0,5.0,1,2.0,1.0,1.0,10
5096.0,760.0,127.0,2.0,3.0,2.0,0.0,66.0,1,1,5.0,1,3.0,1.0,1.0,2
3103.0,260.0,65.0,1.0,1.0,1.0,10.0,37.0,2,0,2.0,1,2.0,2.0,1.0,2
4015.0,670.0,90.0,2.0,2.0,2.0,5.0,,3,0,4.0,1,2.0,1.0,1.0,3
4400.0,500.0,100.0,3.0,2.0,2.0,7.0,,10,3,5.0,1,2.0,2.0,1.0,13
1000.0,,60.0,1.0,1.0,,7.0,33.0,2,0,2.0,0,2.0,2.0,3.0,2
2150.0,180.0,44.0,1.0,1.0,1.0,0.0,52.0,3,5,2.0,1,1.0,1.0,2.0,8
2000.0,80.0,100.0,3.0,2.0,,1.0,143.0,15,0,5.0,0,2.0,1.0,1.0,15
2300.0,160.0,60.0,1.0,1.0,,10.0,212.0,8,0,2.0,0,2.0,2.0,1.0,9
4150.0,280.0,86.0,2.0,2.0,1.0,0.0,60.0,7,0,4.0,1,2.0,1.0,1.0,7
2372.0,219.0,50.0,1.0,,1.0,15.0,,5,2,,1,1.0,2.0,1.0,7
3000.0,,102.0,,4.0,,20.0,,7,1,,0,3.0,2.0,1.0,8
1950.0,250.0,40.0,1.0,1.0,1.0,,,8,2,2.0,1,1.0,,1.0,10
2200.0,230.0,57.0,2.0,2.0,,3.0,59.0,6,0,4.0,0,2.0,1.0,3.0,6
2000.0,,80.0,3.0,1.0,,26.0,33.0,14,0,4.0,0,2.0,3.0,2.0,14
2600.0,150.0,98.0,3.0,1.0,1.0,45.0,84.0,14,0,4.0,1,2.0,3.0,1.0,14
2960.0,,77.0,2.0,1.0,1.0,6.0,,7,3,3.0,1,2.0,2.0,2.0,10
4200.0,380.0,89.0,2.0,2.0,2.0,5.0,,0,1,4.0,1,2.0,1.0,1.0,2
4380.0,340.0,81.0,1.0,2.0,1.0,7.0,,12,0,3.0,1,2.0,2.0,1.0,13
11400.0,1100.0,336.0,4.0,4.0,4.0,13.0,60.0,4,0,8.0,1,3.0,2.0,1.0,6
9250.0,570.0,180.0,3.0,2.0,1.0,26.0,,1,0,5.0,1,3.0,3.0,1.0,1
9250.0,600.0,213.0,3.0,3.0,2.0,16.0,,6,0,6.0,1,3.0,2.0,1.0,6
6840.0,720.0,177.0,2.0,2.0,1.0,20.0,38.0,3,0,4.0,1,3.0,2.0,1.0,6
2353.0,175.0,41.0,1.0,1.0,1.0,8.0,55.0,9,0,2.0,1,1.0,2.0,1.0,9
6250.0,500.0,103.0,2.0,2.0,1.0,0.0,42.0,5,0,4.0,1,3.0,1.0,1.0,5
3515.0,500.0,130.0,3.0,3.0,2.0,6.0,57.0,8,0,6.0,1,3.0,2.0,1.0,8
1500.0,150.0,75.0,3.0,1.0,1.0,,,8,0,4.0,1,2.0,,3.0,11
1700.0,100.0,60.0,2.0,1.0,,0.0,251.0,4,1,3.0,0,2.0,1.0,1.0,5
3000.0,370.0,63.0,,2.0,1.0,5.0,,8,4,,1,2.0,1.0,1.0,13
3650.0,509.0,96.0,1.0,1.0,1.0,11.0,,9,0,2.0,1,2.0,2.0,1.0,9
1400.0,,40.0,1.0,1.0,,1.0,19.0,10,0,2.0,0,1.0,1.0,3.0,10
2100.0,,100.0,3.0,2.0,,20.0,140.0,10,0,5.0,0,2.0,2.0,1.0,10
2100.0,200.0,80.0,3.0,2.0,,10.0,69.0,23,1,5.0,0,2.0,2.0,3.0,25
7440.0,850.0,200.0,3.0,3.0,2.0,15.0,,3,0,6.0,1,3.0,2.0,1.0,3
2642.0,200.0,45.0,1.0,1.0,,0.0,,4,1,2.0,0,1.0,1.0,1.0,6
3500.0,400.0,120.0,3.0,2.0,2.0,14.0,54.0,5,1,5.0,1,3.0,2.0,1.0,7
2000.0,180.0,76.0,3.0,2.0,,7.0,156.0,13,0,5.0,0,2.0,2.0,1.0,14
7500.0,1450.0,240.0,3.0,2.0,2.0,10.0,,4,1,5.0,1,3.0,2.0,1.0,5
2555.0,,51.0,1.0,1.0,1.0,,,9,1,2.0,1,2.0,,1.0,10
7300.0,,180.0,3.0,3.0,2.0,11.0,,0,0,6.0,1,3.0,2.0,1.0,0
2800.0,300.0,100.0,2.0,2.0,,20.0,73.0,6,0,4.0,0,2.0,2.0,1.0,6
1200.0,150.0,60.0,3.0,2.0,1.0,6.0,52.0,5,0,5.0,1,2.0,2.0,3.0,5
