,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
7490,ricardo bentin,rimac,avenida ricardo bentin 391,inicial - jardin,publica - sector educacion,-12.0304,-77.03694
7493,roosevelt del rimac,rimac,calle los molinos 928,inicial - jardin,privada - particular,-12.03005,-77.0369
7495,rosario de fatima,rimac,jiron manco inca ex - ramon castilla s/n,inicial - jardin,privada - particular,-12.03479,-77.0409
7498,sagrado corazon de jesus - rimac,rimac,jiron julian pineiro 385,primaria,privada - particular,-12.0425,-77.02716
7499,san antonio del rimac,rimac,calle catorce 280-284,primaria,privada - particular,-12.02588,-77.03146
7502,san francisco de asis del rimac,rimac,jiron elias ascuez 140,primaria,privada - particular,-12.01873,-77.03426
7504,san juan bautista - rimac,rimac,mz a lote 07,inicial - jardin,privada - particular,-12.02184,-77.03097
7507,san juan pablo ii,rimac,jiron chiclayo 323,primaria,privada - particular,-12.04093,-77.02849
7509,san luis de borja school,rimac,avenida los proceres 698,secundaria,privada - particular,-12.03322,-77.04078
7529,stella maris,rimac,avenida lorenzo de encalada 155,inicial - jardin,privada - particular,-12.02681,-77.02831
7530,su santidad juan pablo ii,rimac,avenida san antonio daza 222,inicial - jardin,privada - particular,-12.03477,-77.03972
7532,travesuras,rimac,calle las tapadas 177,inicial - jardin,privada - particular,-12.02765,-77.03131
7533,victoria barcia boniffatti,rimac,avenida la capilla 1246,inicial - jardin,privada - particular,-12.02702,-77.03947
7535,virgen nina,rimac,avenida armando filomeno 302,secundaria,privada - parroquial,-12.0239,-77.0285
7541,yo soy el camino,rimac,jiron monitor huascar sur 525,primaria,privada - particular,-12.0257,-77.0378
7543,amigos en jesus del rimac,rimac,jiron anta 4953,primaria,privada - particular,-11.97978,-77.07045
7545,alamos school,rimac,avenida alcazar s/n mz 34-h,inicial - jardin,privada - particular,-12.02741,-77.03314
7547,539 virgen de fatima,san bartolo,avenida san jose / av mar pacifico s/n,inicial - jardin,publica - sector educacion,-12.39016,-76.77663
7548,6013 virgen inmaculada del rosario,san bartolo,avenida las arenas mz l lote 28,primaria,publica - sector educacion,-12.39145,-76.77712
7549,carita feliz,san bartolo,avenida panamericana sur s/n mz g lote 17,inicial - jardin,privada - particular,-12.38726,-76.7712
7550,gracia divina,san bartolo,mz g lote 33,inicial - jardin,privada - particular,-12.38796,-76.77762
7551,maria rostworowski,san bartolo,carretera panamericana sur mz g lote 19,primaria,privada - particular,-12.38716,-76.77134
7554,victor moron munoz,san bartolo,avenida san jose s/n,secundaria,publica - sector educacion,-12.38913,-76.77495
7555,manitas pequenas,san bartolo,mz g lote 1 etapa iii aa.hh.,inicial - jardin,publica - sector educacion,-12.38985,-76.76691
7556,el rincon de los pekes,san borja,jiron juan romero hidalgo 552 mz c lote 4,inicial - jardin,privada - particular,-12.10856,-76.99592
7557,522 maria inmaculada,san borja,avenida paul linder 300,inicial - cuna jardin,publica - sector educacion,-12.10761,-77.00247
7558,528 alegria de jesus,san borja,calle claude sahut,inicial - cuna jardin,publica - sector educacion,-12.1113,-77.00511
7559,554 virgen de lourdes,san borja,avenida arqueologia supermanzana g mz g lote 28,inicial - jardin,publica - sector educacion,-12.08459,-77.00028
7560,6079 santisima nina maria,san borja,calle pablo usandizaga 321,primaria,publica - sector educacion,-12.10509,-76.99374
7562,7029 virgen milagrosa,san borja,jiron justo pastor davila 137,primaria,publica - sector educacion,-12.110165,-77.008852
7563,7083 manuel gonzales prada,san borja,pasaje avelardo gamarra 160,primaria,publica - sector educacion,-12.08618,-77.00652
7566,7089 romeo luna victoria,san borja,calle eduardo ordonez 300,basica alternativa - avanzado,publica - sector educacion,-12.10594,-77.00472
7569,abc maria del carmelo,san borja,avenida franz liszt 194,inicial - cuna jardin,privada - particular,-12.09816,-76.99147
7570,amado de dios,san borja,avenida aviacion mz b lote 26,inicial - jardin,privada - particular,-12.11043,-77.00002
7576,angeles de la paz,san borja,calle william ramsey 121,primaria,privada - particular,-12.10921,-77.00968
7580,armonia,san borja,calle redon 234,inicial - jardin,privada - particular,-12.09133,-76.99275
7581,beginnings and beyond,san borja,avenida fray luis de leon 660,inicial - jardin,privada - particular,-12.0984,-77.0005
7582,benjamin franklin,san borja,avenida aviacion 2484,basica alternativa - avanzado,privada - particular,-12.09042,-77.00342
